1, 4096, 12288, 7, 1, 0, 20, 0, 0, 15, 0.0530123
12288, 4096, 1, 7, 0, 0, 20, 0, 0, 15, 0.0536326
1, 4096, 16384, 7, 0, 0, 23, 0, 0, 15, 0.0690426
16384, 4096, 1, 7, 0, 0, 24, 0, 0, 15, 0.0693025
1, 4096, 4096, 7, 0, 0, 20, 0, 0, 15, 0.0385716
4096, 4096, 1, 7, 1, 0, 20, 0, 0, 15, 0.0390552
1, 16384, 4096, 7, 1, 0, 20, 0, 0, 15, 0.135162
4096, 16384, 1, 7, 0, 0, 20, 0, 0, 15, 0.124665
1, 256, 768, 7, 0, 0, 20, 0, 0, 15, 0.0157023
768, 256, 1, 7, 0, 0, 20, 0, 0, 15, 0.0158147
1, 256, 1024, 7, 1, 0, 20, 0, 0, 15, 0.0163974
1024, 256, 1, 7, 0, 0, 20, 0, 0, 15, 0.0159105
1, 1024, 256, 7, 0, 0, 20, 0, 0, 15, 0.020978
256, 1024, 1, 7, 0, 0, 20, 0, 0, 15, 0.0205388
1, 256, 256, 7, 0, 0, 20, 0, 0, 15, 0.0163065
256, 256, 1, 7, 0, 0, 20, 0, 0, 15, 0.0162732
4, 4096, 12288, 7, 1, 0, 20, 0, 0, 15, 0.0539817
12288, 4096, 4, 7, 0, 0, 20, 0, 0, 15, 0.0542739
4, 4096, 16384, 7, 0, 0, 23, 0, 0, 15, 0.0695058
16384, 4096, 4, 7, 0, 0, 24, 0, 0, 15, 0.0688601
4, 4096, 4096, 7, 1, 0, 20, 0, 0, 15, 0.0396702
4096, 4096, 4, 7, 0, 0, 20, 0, 0, 15, 0.0385328
4, 16384, 4096, 7, 0, 0, 20, 0, 0, 15, 0.133823
4096, 16384, 4, 7, 0, 0, 20, 0, 0, 15, 0.122932
4, 256, 768, 7, 0, 0, 20, 0, 0, 15, 0.0157173
768, 256, 4, 7, 1, 0, 20, 0, 0, 15, 0.0162122
4, 256, 1024, 7, 0, 0, 20, 0, 0, 15, 0.0156712
1024, 256, 4, 7, 0, 0, 20, 0, 0, 15, 0.0158084
4, 1024, 256, 7, 0, 0, 20, 0, 0, 15, 0.0204465
256, 1024, 4, 7, 1, 0, 20, 0, 0, 15, 0.0209236
4, 256, 256, 7, 1, 0, 20, 0, 0, 15, 0.0160594
256, 256, 4, 7, 0, 0, 20, 0, 0, 15, 0.01582
8, 4096, 12288, 7, 0, 0, 20, 0, 0, 15, 0.0542533
12288, 4096, 8, 7, 0, 0, 20, 0, 0, 15, 0.0538761
8, 4096, 16384, 7, 0, 0, 23, 0, 0, 15, 0.0689427
16384, 4096, 8, 7, 1, 0, 24, 0, 0, 15, 0.0690811
8, 4096, 4096, 7, 1, 0, 20, 0, 0, 15, 0.0389778
4096, 4096, 8, 7, 0, 0, 20, 0, 0, 15, 0.0388276
8, 16384, 4096, 7, 0, 0, 20, 0, 0, 15, 0.134184
4096, 16384, 8, 7, 1, 0, 20, 0, 0, 15, 0.123817
8, 256, 768, 7, 0, 0, 20, 0, 0, 15, 0.014919
768, 256, 8, 7, 1, 0, 20, 0, 0, 15, 0.0154206
8, 256, 1024, 7, 0, 0, 20, 0, 0, 15, 0.0154434
1024, 256, 8, 7, 1, 0, 20, 0, 0, 15, 0.0165042
8, 1024, 256, 7, 0, 0, 20, 0, 0, 15, 0.0196382
256, 1024, 8, 7, 0, 0, 20, 0, 0, 15, 0.0205706
8, 256, 256, 7, 1, 0, 20, 0, 0, 15, 0.0151861
256, 256, 8, 7, 1, 0, 20, 0, 0, 15, 0.0148629
16, 4096, 12288, 7, 0, 0, 20, 0, 0, 15, 0.0540694
12288, 4096, 16, 7, 0, 0, 20, 0, 0, 15, 0.0533735
16, 4096, 16384, 7, 0, 0, 23, 0, 0, 15, 0.0693158
16384, 4096, 16, 7, 1, 0, 24, 0, 0, 15, 0.0685116
16, 4096, 4096, 7, 0, 0, 20, 0, 0, 15, 0.0386979
4096, 4096, 16, 7, 0, 0, 20, 0, 0, 15, 0.0389314
16, 16384, 4096, 7, 1, 0, 20, 0, 0, 15, 0.134193
4096, 16384, 16, 7, 0, 0, 20, 0, 0, 15, 0.122841
16, 256, 768, 7, 1, 0, 20, 0, 0, 15, 0.0151906
768, 256, 16, 7, 0, 0, 20, 0, 0, 15, 0.0150726
16, 256, 1024, 7, 0, 0, 20, 0, 0, 15, 0.0150901
1024, 256, 16, 7, 0, 0, 20, 0, 0, 15, 0.0151097
16, 1024, 256, 7, 0, 0, 20, 0, 0, 15, 0.0196521
256, 1024, 16, 7, 0, 0, 20, 0, 0, 15, 0.0198735
16, 256, 256, 7, 1, 0, 20, 0, 0, 15, 0.0152542
256, 256, 16, 7, 0, 0, 20, 0, 0, 15, 0.0150954
60, 4096, 12288, 7, 1, 0, 20, 0, 0, 15, 0.0565639
12288, 4096, 60, 7, 0, 0, 20, 0, 0, 15, 0.0558868
60, 4096, 16384, 7, 0, 0, 23, 0, 0, 15, 0.0723739
16384, 4096, 60, 7, 0, 0, 24, 0, 0, 15, 0.0726381
60, 4096, 4096, 7, 1, 0, 20, 0, 0, 15, 0.0394896
4096, 4096, 60, 7, 0, 0, 20, 0, 0, 15, 0.0391154
60, 16384, 4096, 7, 0, 0, 20, 0, 0, 15, 0.135493
4096, 16384, 60, 7, 0, 0, 20, 0, 0, 15, 0.126364
60, 256, 768, 7, 0, 0, 20, 0, 0, 15, 0.0153768
768, 256, 60, 7, 0, 0, 20, 0, 0, 15, 0.0154671
60, 256, 1024, 7, 1, 0, 20, 0, 0, 15, 0.015987
1024, 256, 60, 7, 0, 0, 20, 0, 0, 15, 0.014914
60, 1024, 256, 7, 0, 0, 20, 0, 0, 15, 0.0200734
256, 1024, 60, 7, 0, 0, 20, 0, 0, 15, 0.0200961
60, 256, 256, 7, 0, 0, 20, 0, 0, 15, 0.0154579
256, 256, 60, 7, 1, 0, 20, 0, 0, 15, 0.0156536
128, 4096, 12288, 7, 1, 0, 20, 0, 0, 15, 0.0651815
12288, 4096, 128, 7, 1, 0, 20, 0, 0, 15, 0.0655505
128, 4096, 16384, 7, 0, 0, 23, 0, 0, 15, 0.0817818
16384, 4096, 128, 7, 0, 0, 24, 0, 0, 15, 0.0825312
128, 4096, 4096, 7, 1, 0, 20, 0, 0, 15, 0.0421756
4096, 4096, 128, 7, 0, 0, 20, 0, 0, 15, 0.0417111
128, 16384, 4096, 7, 0, 0, 20, 0, 0, 15, 0.139442
4096, 16384, 128, 7, 0, 0, 20, 0, 0, 15, 0.137361
128, 256, 768, 7, 1, 0, 20, 0, 0, 15, 0.0178078
768, 256, 128, 7, 1, 0, 20, 0, 0, 15, 0.0179104
128, 256, 1024, 7, 0, 0, 20, 0, 0, 15, 0.0176623
1024, 256, 128, 7, 1, 0, 20, 0, 0, 15, 0.0180007
128, 1024, 256, 7, 0, 0, 20, 0, 0, 15, 0.0222659
256, 1024, 128, 7, 1, 0, 20, 0, 0, 15, 0.022551
128, 256, 256, 7, 0, 0, 20, 0, 0, 15, 0.0175362
256, 256, 128, 7, 0, 0, 20, 0, 0, 15, 0.0175543
